,Source,Type Level 4,altLabels,Definition,Dimension,Type Level 1,Type Level 2,Type Level 3,unique_id,name,name+definition
2745,http://data.europa.eu/esco/skill/f5cae5fa-a2ee-4e76-acab-9191cbdaab25,develop a health and safety prevention plan for road transport,"develop a health and safety prevention plan for road transport
create mitigation strategies for road transport health and safety risks
develop a health and safety prevention plan for road transportation
develop a road transport health and safety prevention plan
identify the health and safety risks of road transport and create mitigation strategies
identify the health and safety risks of road transportation
identify road transport health and safety risks
identify hazards of road transportation
develop a road health and safety prevention plan
produce a health and safety prevention plan for road transportation
produce a health and safety prevention plan for road transport",Develop a prevention plan to avoid potential risks for health and safety from occurring.,skills,management skills,developing objectives and strategies,developing contingency and emergency response plans,2712,develop a health and safety prevention plan for road transport,develop a health and safety prevention plan for road transport : develop a prevention plan to avoid potential risks for health and safety from occurring.
2749,http://data.europa.eu/esco/skill/f5d8db86-12fe-4b17-80ee-dc126bab8335,research new cooking methods,"analyse new cooking methods
research new cooking methods
research a new cooking method
search for new cooking methods
researching new cooking methods
probe new cooking methods
investigate new cooking methods",Assess new cooking methods by undergoing research activities in order to develop or improve food technological processes.,skills,information skills,"conducting studies, investigations and examinations",conducting academic or market research,2713,research new cooking methods,research new cooking methods : assess new cooking methods by undergoing research activities in order to develop or improve food technological processes.
2751,http://data.europa.eu/esco/skill/f5dc20ae-8b2f-4c9b-b4fa-e9e8c81dbcf4,encourage students to acknowledge their achievements,"push students to acknowledge their achievements
encouraging students to acknowledge their achievements
inspire students to acknowledge their achievements
encourages students to acknowledge their achievements
encourage students to acknowledge their achievements
encourage student to acknowledge their achievements
urge students to acknowledge their achievements",Stimulate students to appreciate their own achievements and actions to nurture confidence and educational growth.,skills,management skills,leading and motivating,leading and motivating,2714,encourage students to acknowledge their achievements,encourage students to acknowledge their achievements : stimulate students to appreciate their own achievements and actions to nurture confidence and educational growth.
2753,http://data.europa.eu/esco/skill/f5f9b6fe-0ff2-4c0b-887a-12702d8612ba,tend CNC engraving machine,"tend CNC engraving machine
watch over CNC engraving machine
guard CNC engraving machine
guard computer controlled etching machinery
oversee CNC engraving machine
take care of CNC engraving machine
watch over computer controlled etching machinery
take care of computer controlled etching machinery
oversee computer controlled etching machinery",Monitor and operate a computer numerical controlled (CNC) engraving machine according to regulations.,skills,working with computers,using digital tools to control machinery,using digital tools to control machinery,2715,tend CNC engraving machine,tend CNC engraving machine : monitor and operate a computer numerical controlled (cnc) engraving machine according to regulations.
2754,http://data.europa.eu/esco/skill/f6068fdb-8033-48ee-9444-5cbd2b40ba64,apply credit stress testing methodologies,"application of credit stress testing methodologies
administer credit stress testing methodologies
utilise credit stress testing methodologies
apply credit stress testing methodologies
applying credit stress testing methodologies
employ credit stress testing methodologies
apply a credit stress testing methodology
implement credit stress testing methodologies",Use several approaches and credit stress test methodologies. Determine and analyse which reactions to different financial situations or sudden changes can have an impact on the whole economy.,skills,information skills,analysing and evaluating information and data,analysing financial and economic data,2716,apply credit stress testing methodologies,apply credit stress testing methodologies : use several approaches and credit stress test methodologies. determine and analyse which reactions to different financial situations or sudden changes can have an impact on the whole economy.
2755,http://data.europa.eu/esco/skill/f60c9e52-95fc-4ca1-a73c-18a491153b63,make strategic business decisions,"make tactical business decisions
pay per click
make strategic business decisions
make strategic business choices
PPC","Analyse business information and consult directors for decision making purposes in a varied array of aspects affecting the prospect, productivity and sustainable operation of a company. Consider the options and alternatives to a challenge and make sound rational decisions based on analysis and experience.",skills,management skills,making decisions,making decisions,2717,make strategic business decisions,"make strategic business decisions : analyse business information and consult directors for decision making purposes in a varied array of aspects affecting the prospect, productivity and sustainable operation of a company. consider the options and alternatives to a challenge and make sound rational decisions based on analysis and experience."
2758,http://data.europa.eu/esco/skill/f632251a-4078-4546-b19f-7ef528d08325,use IT tools,"employ IT tools
use information technology tools
utilize IT tools
utilize information technology tools
employ information and communication technology tools
employ ICT tools
employ information technology tools
use ICT tools
use IT tools
use information and communication technology
utilise information technology tools
utilise IT tools
use information and communication technology tools
use information technology","Application of computers, computer networks and other information technologies and equipment to storing, retrieving, transmitting and manipulating data, in the context of a business or enterprise.",skills,working with computers,accessing and analysing digital data,accessing and analysing digital data,2718,use IT tools,"use IT tools : application of computers, computer networks and other information technologies and equipment to storing, retrieving, transmitting and manipulating data, in the context of a business or enterprise."
2761,http://data.europa.eu/esco/skill/f6424ebb-8401-446b-9f7e-10d7c854da02,ICT network simulation,ICT network simulation,The methods and tools which enable modelling of the ICT network behaviour by calculating the data exchange among entities or capturing and reproducing characteristics from a functioning network.,knowledge,information and communication technologies (icts),information and communication technologies (icts),database and network design and administration,2719,ICT network simulation,ICT network simulation : the methods and tools which enable modelling of the ict network behaviour by calculating the data exchange among entities or capturing and reproducing characteristics from a functioning network.
2762,http://data.europa.eu/esco/skill/f672b7a0-698e-45f1-a102-51adeaf89200,develop efficiency plans for logistics operations,"produce efficiency plans for logistical operations
create efficiency plans for logistics operations
devise efficiency plans for logistical operations
increase efficiency of logistics operations through efficiency planning
develop efficiency plans for logistical operations
devise efficiency plans for logistics operations
implement plans to increase efficiency of logistics operations
conduct planning activities to increase efficiency of logistics operations
plan and implement actions to increase efficiency of logistics operations
develop efficiency plans for logistics operations
create efficiency plans for logistical operations
produce efficiency plans for logistics operations
execute plans to increase efficiency of logistics operations",Elaborate and implement plans in order to increase efficiency and reduce waste during logistics operations.,skills,management skills,developing objectives and strategies,developing operational policies and procedures,2720,develop efficiency plans for logistics operations,develop efficiency plans for logistics operations : elaborate and implement plans in order to increase efficiency and reduce waste during logistics operations.
2763,http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535,use microsoft office,"have proficiency in microsoft office
be a proficient MS office user
possess proficiency in MS office
utilise microsoft office applications
use microsoft office software
use microsoft office
be a proficient microsoft office user
possess proficiency in microsoft office
use microsoft office programmes
have proficiency in MS office
utilise microsoft office
utilise microsoft office programmes
utilise microsoft office software
use microsoft office applications","Use the standard programs contained in Microsoft Office. Create a document and do basic formatting, insert page breaks, create headers or footers, and insert graphics, create automatically generated tables of contents and merge form letters from a database of addresses. Create auto-calculating spreadsheets, create images, and sort and filter data tables.",skills,working with computers,"using digital tools for collaboration, content creation and problem solving",using digital tools for collaboration and productivity,2721,use microsoft office,"use microsoft office : use the standard programs contained in microsoft office. create a document and do basic formatting, insert page breaks, create headers or footers, and insert graphics, create automatically generated tables of contents and merge form letters from a database of addresses. create auto-calculating spreadsheets, create images, and sort and filter data tables."
2764,http://data.europa.eu/esco/skill/f6868852-9bf6-4899-a5d6-5f9532fb877d,design component interfaces,"design component interfaces
design and implement component interfaces",Use methods and tools to design and program interfaces of software and system components.,skills,working with computers,programming computer systems,programming computer systems,2722,design component interfaces,design component interfaces : use methods and tools to design and program interfaces of software and system components.
2765,http://data.europa.eu/esco/skill/f68cd42c-1d67-4ca7-9b37-8f024763823d,scan photos,"scan photographs
scan images
scan photos
scan of photos
scan pictures","Scan images into computers for editing, storage, and electronic transmission.",skills,working with computers,accessing and analysing digital data,"managing, gathering and storing digital data",2723,scan photos,"scan photos : scan images into computers for editing, storage, and electronic transmission."
2767,http://data.europa.eu/esco/skill/f695332a-245a-4c6a-9eee-ed202928f99e,transcribe dialogues,"transcribe dialogue
transliterate dialogues
transcribe dialogs
write down dialogues
transcribing dialogues",Transcribe dialogues accurately and quickly.,skills,information skills,processing information,entering and transforming information,2724,transcribe dialogues,transcribe dialogues : transcribe dialogues accurately and quickly.
2769,http://data.europa.eu/esco/skill/f69d330a-c343-433f-9532-fed6b8654b0e,analyse potential threats against national security,"investigate potential threats against national safety
identify potential threats against national safety
scrutinise potential threats against national safety
scrutinise potential threats against national security
identify potential threats against national security
analyze  potential threats against national security
investigate potential threats against national security",Analyse the possibilities of potential threats and actions taken against national security in order to develop preventive measures and aid with the development of military tactics and operations.,skills,information skills,analysing and evaluating information and data,analysing and evaluating information and data,2725,analyse potential threats against national security,analyse potential threats against national security : analyse the possibilities of potential threats and actions taken against national security in order to develop preventive measures and aid with the development of military tactics and operations.
2770,http://data.europa.eu/esco/skill/f6e32a5b-bd38-4dd2-87e5-24d56152bcc6,apply through-hole technology manually,"use through-hole technology manually
manually using through-hole technology
apply through-hole technology manually
using through-hole technology manually
use THT manually
manually applying through-hole technology
applying through-hole technology manually
applying THT manually
manually applying THT
apply THT manually
using THT manually
manually using THT",Use through-hole technology (THT) to attach the leads of larger electronic components through the corresponding holes in printed circuit boards. Apply this technique manually.,skills,working with computers,setting up and protecting computer systems,setting up computer systems,2726,apply through-hole technology manually,apply through-hole technology manually : use through-hole technology (tht) to attach the leads of larger electronic components through the corresponding holes in printed circuit boards. apply this technique manually.
2771,http://data.europa.eu/esco/skill/f6ed6d0b-cb2d-4a73-9707-97fdf4288d3c,assess health services within the community,"estimate health services within the communities
prove effectiveness of health services within the community
value health services within the community
prove efficiency of health services within the community
evaluate health services in the communities
assess health services within the community
evaluate health services within the community
evaluate health care within the community",Assess the effectiveness and efficiency of health services for the community with a view to its improvement.,skills,information skills,analysing and evaluating information and data,analysing business operations,2727,assess health services within the community,assess health services within the community : assess the effectiveness and efficiency of health services for the community with a view to its improvement.
2772,http://data.europa.eu/esco/skill/f6fcc895-3dfc-4b00-bb83-348e3c9c72e1,interpret data in food manufacturing,"interpret data in food manufacture
explain data in food manufacturing
interpret data in food manufacturing
clarify data in food manufacturing
interpret the data in food manufacturing
understand data in food manufacturing
decipher data in food manufacturing","Interpret data from different sources, like market data, scientific papers, and customers requirements in order to research development and innovation in food sector.",skills,information skills,analysing and evaluating information and data,analysing business operations,2728,interpret data in food manufacturing,"interpret data in food manufacturing : interpret data from different sources, like market data, scientific papers, and customers requirements in order to research development and innovation in food sector."
2775,http://data.europa.eu/esco/skill/f7091334-10da-4ad6-b74a-8528a01a03f4,expand the network of providers,"broaden network providers' services
expand the network of providers
extend network of providers
expand providers' network",Broaden range of services to clients by seeking opportunities and proposing new local service providers.,skills,management skills,developing objectives and strategies,identifying opportunities,2729,expand the network of providers,expand the network of providers : broaden range of services to clients by seeking opportunities and proposing new local service providers.
2777,http://data.europa.eu/esco/skill/f715be1d-5fc4-49d3-82a5-0b8090d12849,synthesise information,write synthesis essays,"Critically read, interpret, and summarize new and complex information from diverse sources.",skills,information skills,processing information,gathering information from physical or electronic sources,2730,synthesise information,"synthesise information : critically read, interpret, and summarize new and complex information from diverse sources."
2779,http://data.europa.eu/esco/skill/f7373df6-e5c5-4390-aa67-a48bddc5c1e6,build a strategic marketing plan for destination management,"build a strategic marketing plan for destination management
create a strategic marketing business plan
create a business framework for a tourist destination
build a strategic marketing plan to manage destinations
build a marketing strategy  plan for destination management","Create a framework and general direction for marketing activities surrounding a tourist destination. This includes market research, brand development, advertising and promotion, distribution and sales.",skills,management skills,developing objectives and strategies,"developing financial, business or marketing plans",2731,build a strategic marketing plan for destination management,"build a strategic marketing plan for destination management : create a framework and general direction for marketing activities surrounding a tourist destination. this includes market research, brand development, advertising and promotion, distribution and sales."
2780,http://data.europa.eu/esco/skill/f73ed9e8-65c6-450d-9f19-8f3f8266689c,design questionnaires,"design questionnaires
create questionnaires
design questionnaire
designing questionnaires
produce questionnaires
make questionnaires",Study the objectives of the research and imprint those aims into the design and development of questionnaires.,skills,information skills,"conducting studies, investigations and examinations",conducting academic or market research,2732,design questionnaires,design questionnaires : study the objectives of the research and imprint those aims into the design and development of questionnaires.
2782,http://data.europa.eu/esco/skill/f780a6ad-b01e-4c35-9746-af8fc0c5ad06,apply crisis management,"utilise disaster management
administer disaster management
apply crisis management
undertake disaster management
handle crisis management
handle disaster management
undertake crisis management
administer crisis management
utilise crisis management
apply emergency and crisis management",Take control over plans and strategies in critical circumstances showing empathy and understanding to achieve resolution.,skills,management skills,developing objectives and strategies,developing contingency and emergency response plans,2733,apply crisis management,apply crisis management : take control over plans and strategies in critical circumstances showing empathy and understanding to achieve resolution.
2783,http://data.europa.eu/esco/skill/f79b4e88-864f-4d59-ae1c-077af72a76dd,deliver presentations on tourism,"deliver presentations on tourism
deliver tourism presentations
give a speech on the tourism industry
deliver a presentation on tourism
give a presentation",Make presentations about the tourism industry in general and about specific tourist attractions.,skills,"communication, collaboration and creativity",presenting information,presenting general information,2734,deliver presentations on tourism,deliver presentations on tourism : make presentations about the tourism industry in general and about specific tourist attractions.
2785,http://data.europa.eu/esco/skill/f7a3f589-d863-4fc4-b7ab-06fd5e741fc0,develop tourism policies,"develop tourism policies
design travel policies
produce tourism policies
establish tourism policies
produce travel policies
design tourism policies
establish travel policies","Develop strategies for the improvement of the tourism market and operations in a country, and to promote the country as a tourism destination.",skills,management skills,developing objectives and strategies,developing policies and legislation,2735,develop tourism policies,"develop tourism policies : develop strategies for the improvement of the tourism market and operations in a country, and to promote the country as a tourism destination."
2786,http://data.europa.eu/esco/skill/f7b071bf-4882-4cfc-ae0a-7e0e0ab94c61,conduct research across disciplines,work across disciplines,"Work and use research findings and data across disciplinary and/or functional boundaries.
",skills,information skills,"conducting studies, investigations and examinations",conducting academic or market research,2736,conduct research across disciplines,"conduct research across disciplines : work and use research findings and data across disciplinary and/or functional boundaries.
"
2787,http://data.europa.eu/esco/skill/f7e051fc-8f7b-45b3-8911-8ffb9b951f4a,blockchain consensus mechanisms,"blockchain consensus protocols
proof of work
POS
CaaS
proof of authority
consensus as a service
distributed ledger consensus protocols
dPOS
POW
proof of stake
consensus building mechanisms
delegated proof of stake",The different mechanisms and their characteristics that ensure a transaction is propagated correctly in the distributed ledger.,knowledge,information and communication technologies (icts),information and communication technologies (icts),information and communication technologies not elsewhere classified,2737,blockchain consensus mechanisms,blockchain consensus mechanisms : the different mechanisms and their characteristics that ensure a transaction is propagated correctly in the distributed ledger.
2788,http://data.europa.eu/esco/skill/f80e10ac-b642-40a7-a760-3d720f3ce0e1,check request legitimacy,"confirm check request legitimacy
verify check request legitimacy
check request's legitimacy
check legitimacy of request
make sure check request is legitimate
check request legitimacy
checking request legitimacy",Examine the customer's interest in a private investigation before accepting the agreement in order to make sure the interest does not go against the law or public morals.,skills,information skills,analysing and evaluating information and data,analysing and evaluating information and data,2738,check request legitimacy,check request legitimacy : examine the customer's interest in a private investigation before accepting the agreement in order to make sure the interest does not go against the law or public morals.
2789,http://data.europa.eu/esco/skill/f879a418-3e81-4216-9533-aaedce55fa97,ensure accuracy of aeronautical data,"ensure veracity of aeronautical data
carry out aeronautical data quality assurance
conduct activities to ensure the accuracy of published aeronautical information
ensure precision of aeronautical information
perform activities to assure the accuracy of published aeronautical information
ensure precision of aeronautical data
ensure accuracy of aeronautical information
ensure accuracy of aeronautical data
undertake aeronautical data quality assurance activities
ensure veracity of aeronautical information
perform aeronautical data quality assurance activities","Ensure the accuracy of published aeronautical information, e.g. landing charts and radio navigational aids.",skills,information skills,analysing and evaluating information and data,analysing and evaluating information and data,2739,ensure accuracy of aeronautical data,"ensure accuracy of aeronautical data : ensure the accuracy of published aeronautical information, e.g. landing charts and radio navigational aids."
2792,http://data.europa.eu/esco/skill/f88002a8-6355-4d33-9496-285c166ff375,ICT power consumption,ICT power consumption,The energy consumption and types of models of software as well as hardware elements.,knowledge,information and communication technologies (icts),information and communication technologies (icts),computer use,2740,ICT power consumption,ICT power consumption : the energy consumption and types of models of software as well as hardware elements.
2793,http://data.europa.eu/esco/skill/f88cb903-83a2-44a3-98a8-e72180ec37a9,plan research process,plan research process,Outline the research methodologies and schedule in order to ensure that the research can be thoroughly and efficiently executed and that the objectives can be met in a timely manner.,skills,information skills,"conducting studies, investigations and examinations",conducting academic or market research,2741,plan research process,plan research process : outline the research methodologies and schedule in order to ensure that the research can be thoroughly and efficiently executed and that the objectives can be met in a timely manner.
2794,http://data.europa.eu/esco/skill/f8cb12e3-12ad-4260-81ac-e8b4a0c745cc,research human behaviour,"researching human behaviour
examine human behaviour
human behaviour research
study human behaviour
research human behavior
analyse human behaviour
evaluate human behaviour","Analyse, study, and explain human behaviour, uncover the reasons why individuals and groups behave as they do, and look for patterns in order to predict future behaviour.",skills,information skills,"conducting studies, investigations and examinations",conducting academic or market research,2742,research human behaviour,"research human behaviour : analyse, study, and explain human behaviour, uncover the reasons why individuals and groups behave as they do, and look for patterns in order to predict future behaviour."
2795,http://data.europa.eu/esco/skill/f8d30e1d-baa7-4d35-b9f4-df7e1650396e,perform background research on writing subject,"perform background research on writing subject
conduct background research on writing subject
do background research on writing subject
performing background research on writing subject
perform background research on writing subjects
perform writing subject background research",Run thorough background research on writing subject; desk-based research as well as site visits and interviews.,skills,information skills,"conducting studies, investigations and examinations",conducting academic or market research,2743,perform background research on writing subject,perform background research on writing subject : run thorough background research on writing subject; desk-based research as well as site visits and interviews.
2797,http://data.europa.eu/esco/skill/f8d92ca6-539a-4d0e-83eb-7889cde4e8f1,develop interregional collaboration strategies,"define regional cooperation strategies
commence regional cooperation strategies
establish regional cooperation strategies","Develop plans which ensure the cooperation between different regions in order to pursue common goals and implement projects of common interest, in particular in case of cross border regions. Assess possible alignment with partners from other regions.",skills,management skills,developing objectives and strategies,developing operational policies and procedures,2744,develop interregional collaboration strategies,"develop interregional collaboration strategies : develop plans which ensure the cooperation between different regions in order to pursue common goals and implement projects of common interest, in particular in case of cross border regions. assess possible alignment with partners from other regions."
2798,http://data.europa.eu/esco/skill/f8e3425c-fe44-4ffb-bafe-0e20d91dadf4,SAP Data Services,SAP Data Services,"The computer program SAP Data Services is a tool for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure, developed by the software company SAP.",knowledge,information and communication technologies (icts),information and communication technologies (icts),database and network design and administration,2745,SAP Data Services,"SAP Data Services : the computer program sap data services is a tool for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure, developed by the software company sap."
2800,http://data.europa.eu/esco/skill/f8f1f725-0105-41fa-9887-4df9e7a7af1e,manage email hosting service,manage email hosting service,"Oversee the day-to-day running of a private email platform by maintaining and refining provided services, such as spam and virus protection, blocking advertisement, website redesigns and search engine optimisation.",skills,working with computers,accessing and analysing digital data,"managing, gathering and storing digital data",2746,manage email hosting service,"manage email hosting service : oversee the day-to-day running of a private email platform by maintaining and refining provided services, such as spam and virus protection, blocking advertisement, website redesigns and search engine optimisation."
2801,http://data.europa.eu/esco/skill/f94fcf46-9ff2-4877-ac14-aace90b2a4d8,monitor customer inquiries,"watch customer inquiries
monitoring a customer inquiry
oversee customer inquiries
monitor a customer inquiry
supervise customer inquiries
view customer inquiries
monitoring customer inquiries
monitor customer inquiries",Process questions and requests from customers; provide clear information about imported and exported products.,skills,information skills,processing information,processing information,2747,monitor customer inquiries,monitor customer inquiries : process questions and requests from customers; provide clear information about imported and exported products.
2802,http://data.europa.eu/esco/skill/f9670490-8aa4-4540-b121-d440a8294aab,develop data processing applications,develop data processing applications,Create a customised software for processing data by selecting and using the appropriate computer programming language in order for an ICT system to produce demanded output based on expected input.,skills,working with computers,programming computer systems,programming computer systems,2748,develop data processing applications,develop data processing applications : create a customised software for processing data by selecting and using the appropriate computer programming language in order for an ict system to produce demanded output based on expected input.
2803,http://data.europa.eu/esco/skill/f9a6f35b-01a7-40c9-8b61-b6ee46f97272,operating systems,,"The features, restrictions, architectures and other characteristics of operating systems such Linux, Windows, MacOS, etc.",knowledge,information and communication technologies (icts),information and communication technologies (icts),software and applications development and analysis,2749,operating systems,"operating systems : the features, restrictions, architectures and other characteristics of operating systems such linux, windows, macos, etc."
2804,http://data.europa.eu/esco/skill/f9da1ca4-40f4-483a-92e6-0a0c6d078638,use fleet management system,,"Use a fleet management software to coordinate and organise the company vehicles from a central point. The software includes several functions such as driver management, vehicle maintenance, vehicle tracking and diagnostics, vehicle financing, speed management, fuel and fitness management, and safety management. ",skills,working with computers,"using digital tools for collaboration, content creation and problem solving",using digital tools for collaboration and productivity,2750,use fleet management system,"use fleet management system : use a fleet management software to coordinate and organise the company vehicles from a central point. the software includes several functions such as driver management, vehicle maintenance, vehicle tracking and diagnostics, vehicle financing, speed management, fuel and fitness management, and safety management. "
2805,http://data.europa.eu/esco/skill/f9e788df-d68a-4f92-92c7-80e135fc35ff,ICT networking hardware,"computer networking devices
ICT networking devices
ICT networking hardware","The ICT network equipment or computer networking devices, such as UPS systems, electrical systems, networking facilities and structured cabling systems.",knowledge,information and communication technologies (icts),information and communication technologies (icts),database and network design and administration,2751,ICT networking hardware,"ICT networking hardware : the ict network equipment or computer networking devices, such as ups systems, electrical systems, networking facilities and structured cabling systems."
2806,http://data.europa.eu/esco/skill/f9f6559c-029a-4586-ab68-02cbc1632b67,carry out flow cytometry,"carry out flow cytometry
carry out flow-cytometry
perform flow cytometry
use flow cytometry technology
interpret data from flow cytometry","Integrate and interpret data generated from flow cytometry histograms into the diagnostic, such as diagnose malignant lymphoma, using flow cytometry technology.",skills,information skills,analysing and evaluating information and data,analysing scientific and medical data,2752,carry out flow cytometry,"carry out flow cytometry : integrate and interpret data generated from flow cytometry histograms into the diagnostic, such as diagnose malignant lymphoma, using flow cytometry technology."
2808,http://data.europa.eu/esco/skill/fa3567c8-a7c1-40de-bac0-a4f5a85b9f1a,develop contingency plans for emergencies,"compose emergency contingency plans
compose contingency plans for emergencies
produce emergency action plans
develop emergency contingency plans
create contingency plans for emergencies
produce action plans for emergency situations
produce plans for procedures to be taken in an emergency
develop contingency plans for emergencies
develop contingency plans for use in emergencies
outline procedures to taken in the event of an emergency
create emergency contingency plans
outline actions to be taken in the event of an emergency","Compose procedures outlining specific actions to be taken in the event of an emergency, taking into account all the risks and dangers that could be involved, ensuring that the plans comply with safety legislation and represent the safest course of action.",skills,management skills,developing objectives and strategies,developing contingency and emergency response plans,2753,develop contingency plans for emergencies,"develop contingency plans for emergencies : compose procedures outlining specific actions to be taken in the event of an emergency, taking into account all the risks and dangers that could be involved, ensuring that the plans comply with safety legislation and represent the safest course of action."
2810,http://data.europa.eu/esco/skill/fa3e5cec-703e-4d46-b3bb-e8a89540ab54,manage digital archives,"managing digital archives
manage digital archives
maintain digital archives
manage digital archive
oversee digital archives","Create and maintain computer archives and databases, incorporating latest developments in electronic information storage technology.",skills,information skills,managing information,managing information,2754,manage digital archives,"manage digital archives : create and maintain computer archives and databases, incorporating latest developments in electronic information storage technology."
2813,http://data.europa.eu/esco/skill/fa465db3-56e8-4b5d-a781-e2a313a4ed2d,conduct qualitative research,conduct qualitative research,"Gather relevant information by applying systematic methods, such as interviews, focus groups, text analysis, observations and case studies.",skills,information skills,"conducting studies, investigations and examinations",conducting academic or market research,2755,conduct qualitative research,"conduct qualitative research : gather relevant information by applying systematic methods, such as interviews, focus groups, text analysis, observations and case studies."
2815,http://data.europa.eu/esco/skill/fa642fc3-5cc5-41cf-8926-6617a8b976a7,promote the participation of citizens in scientific and research activities,engage public in research,"Engage citizens in scientific and research activities and promote their contribution in terms of knowledge, time or resources invested.
",skills,information skills,"conducting studies, investigations and examinations",conducting academic or market research,2756,promote the participation of citizens in scientific and research activities,"promote the participation of citizens in scientific and research activities : engage citizens in scientific and research activities and promote their contribution in terms of knowledge, time or resources invested.
"
2817,http://data.europa.eu/esco/skill/faf208ae-d4a4-43b4-bb82-846b7348b740,manage information sources,manage information sources,Identify relevant internal and external information sources and providers. Organise the information workflow and define information deliverables.,skills,information skills,processing information,gathering information from physical or electronic sources,2757,manage information sources,manage information sources : identify relevant internal and external information sources and providers. organise the information workflow and define information deliverables.
2819,http://data.europa.eu/esco/skill/fafe0b9d-dbd9-46bd-b770-26299539ce66,ICT process quality models,"CMMI (Capability Maturity Model Integrated)
software process quality
ICT process quality models
Quality maturity models
CMM","The quality models for ICT services which address the maturity of the processes, the adoption of recommended practices and their definition and institutionalisation that allow the organisation to reliably and sustainably produce required outcomes. It includes models in a lot of ICT areas.",knowledge,information and communication technologies (icts),information and communication technologies (icts),software and applications development and analysis,2758,ICT process quality models,"ICT process quality models : the quality models for ict services which address the maturity of the processes, the adoption of recommended practices and their definition and institutionalisation that allow the organisation to reliably and sustainably produce required outcomes. it includes models in a lot of ict areas."
2820,http://data.europa.eu/esco/skill/fb221711-05c3-4196-ba72-813ed5bd040e,lead the brand strategic planning process,"leading the brand strategic planning process
determine the brand strategic planning process
lead the brand strategic planning process
control the brand strategic planning process
administer the brand strategic planning process
lead brand strategic planning processes
lead a brand strategic planning process
direct the brand strategic planning process",Manage the strategic planning process of the brand as well as provide innovation and progress in the strategy planning methodologies and improvements for consumer communication in order to base innovation and strategies on consumer insights and needs.,skills,management skills,developing objectives and strategies,"developing financial, business or marketing plans",2759,lead the brand strategic planning process,lead the brand strategic planning process : manage the strategic planning process of the brand as well as provide innovation and progress in the strategy planning methodologies and improvements for consumer communication in order to base innovation and strategies on consumer insights and needs.
2822,http://data.europa.eu/esco/skill/fb608942-5bf8-4d5f-b22b-7f888b07f849,facilitate motor skill activities,"support motor skill activities
facilitating motor skill activities
encourage motor skill activities
facilitate motor skill activity
facilitates motor skill activities
facilitate motor skill activities
assist motor skill activities","Organise activities that stimulate children's motor skills, especially the more challenged children in a special education context.",skills,management skills,developing objectives and strategies,developing educational programmes,2760,facilitate motor skill activities,"facilitate motor skill activities : organise activities that stimulate children's motor skills, especially the more challenged children in a special education context."
2823,http://data.europa.eu/esco/skill/fb7aee4d-f6c6-4a87-8e9d-8e542b3771f8,software metrics,software metrics,The metrics that measure a characteristic of the software system in order to determine the development of the software and evaluate it.,knowledge,information and communication technologies (icts),information and communication technologies (icts),software and applications development and analysis,2761,software metrics,software metrics : the metrics that measure a characteristic of the software system in order to determine the development of the software and evaluate it.
2824,http://data.europa.eu/esco/skill/fba47924-b6ff-4be1-b35d-a8142a86e3f2,draw up artistic programming policy,"create artistic programming policy
draw up artistic programming policies
produce artistic programming policy
formulate artistic programming policy
draw up artistic programming policy
drawing up artistic programming policy
develop artistic programming policy","Formulate ideas, possible plans and concepts concerning the artistic policy in the medium and short term. More specifically, focus on the season programming in order to contribute to the development of a coherent, high quality and realistic policy by the artistic direction.",skills,management skills,developing objectives and strategies,developing operational policies and procedures,2762,draw up artistic programming policy,"draw up artistic programming policy : formulate ideas, possible plans and concepts concerning the artistic policy in the medium and short term. more specifically, focus on the season programming in order to contribute to the development of a coherent, high quality and realistic policy by the artistic direction."
2826,http://data.europa.eu/esco/skill/fbafa41f-cd05-4109-a649-8b44d306d779,create data models,"manage data models
create data models","Use specific techniques and methodologies to analyse the data requirements of an organisation's business processes in order to create models for these data, such as conceptual, logical and physical models. These models have a specific structure and format.",skills,information skills,managing information,managing information,2763,create data models,"create data models : use specific techniques and methodologies to analyse the data requirements of an organisation's business processes in order to create models for these data, such as conceptual, logical and physical models. these models have a specific structure and format."
2828,http://data.europa.eu/esco/skill/fbbcb9ab-4b95-4e57-a756-30d08b7da7a5,maintain ICT system,maintain ICT system,Select and apply system and network monitoring techniques. Identify and fix operational problems. Ensure that system's capabilities and efficiency match company specifications.,skills,working with computers,working with computers,working with computers,2764,maintain ICT system,maintain ICT system : select and apply system and network monitoring techniques. identify and fix operational problems. ensure that system's capabilities and efficiency match company specifications.
